Year,Region,Product A Sales,Product B Sales,Product C Sales,,A'Product Avg,,B' Product Avg,,C'Product Avg
2021,India,7312,8665,5041,,#N/A,,#N/A,,#N/A
2021,USA,8361,4629,7371,,#N/A,,#N/A,,#N/A
2021,Canada,5343,5126,6777,,#N/A,,#N/A,,#N/A
2021,UK,8265,3341,7609,,#N/A,,#N/A,,#N/A
2020,India,6238,3948,6512,,#N/A,,#N/A,,#N/A
2020,USA,8728,7972,5623,,#N/A,,#N/A,,#N/A
2020,Canada,4589,9224,8639,,#N/A,,#N/A,,#N/A
2020,UK,6098,2315,5000,,#N/A,,#N/A,,#N/A
2019,India,5674,6721,3947,,#N/A,,#N/A,,#N/A
2019,USA,3598,9374,7272,,#N/A,,6192.2,,6385
2019,Canada,8765,9272,5100,,#REF!,,6376.6,,6102.4
2019,UK,4539,6473,4545,,,,,,
,,,,,,,,,,
,,,,,,,,,,
